Tipo_aviso;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre;Serie;Norte;Este;Depto;Municipio;Vereda;Cia
PERMISO INGRESO;CTER GERE;Año;1029914;19895156;2017-01-20 00:00:00;2017-01-20 00:00:00;2018-11-16 00:00:00;15614;811596,7208;720675,6667;CAUCA;SANTANDER DE QUILICHAO;SAN ISIDRO;Azul
VEGETACIÓN;COPL GERE;Trimestre;1135248;19895156;2012-02-08 00:00:00;2012-02-08 00:00:00;2013-11-09 00:00:00;15614;811596,7208;720675,6667;CAUCA;SANTANDER DE QUILICHAO;SAN ISIDRO;Azul
VEGETACIÓN;INIC GERE;Semestre;1129504;19895156;2012-03-18 00:00:00;2012-03-31 00:00:00;2012-10-06 00:00:00;15614;811596,7208;720675,6667;CAUCA;SANTANDER DE QUILICHAO;SAN ISIDRO;Azul
VEGETACIÓN;COPL GERE;Año;2973222;19895156;2014-01-12 00:00:00;2014-01-12 00:00:00;2015-03-26 00:00:00;15614;811596,7208;720675,6667;CAUCA;SANTANDER DE QUILICHAO;SAN ISIDRO;Azul
CONSTRUCCIONES;INIC GEAM;Año;1687706;19895188;2009-01-10 00:00:00;2009-01-10 00:00:00;2013-12-21 00:00:00;15576;793706,1184;719912,4577;CAUCA;MORALES;MATA REDONDA;Azul
CONSTRUCCIONES;INIC GERE;Seis años;1065800;19895188;2013-01-04 00:00:00;2013-01-05 00:00:00;2017-02-17 00:00:00;15576;793706,1184;719912,4577;CAUCA;MORALES;MATA REDONDA;Azul
VEGETACIÓN;CTER GERE;Semestre;1122624;19894601;2012-04-27 00:00:00;2012-04-27 00:00:00;2015-12-13 00:00:00;4337;896754,7761;735353,277;VALLE DEL CAUCA;YUMBO;SAN MARCOS;Azul
CONSTRUCCIONES;INIC GEAM;Tres años;1749529;19894601;2007-09-13 00:00:00;2007-09-13 00:00:00;1970-01-01 00:00:00;4337;896754,7761;735353,277;VALLE DEL CAUCA;YUMBO;SAN MARCOS;Azul
CONSTRUCCIONES;INIC GERE;Tres años;1749528;19894601;2007-09-13 00:00:00;2007-09-13 00:00:00;2009-12-18 00:00:00;4337;896754,7761;735353,277;VALLE DEL CAUCA;YUMBO;SAN MARCOS;Azul
CONSTRUCCIONES;INIC GERE;Tres años;1749527;19894601;2007-09-13 00:00:00;2007-09-13 00:00:00;2010-11-28 00:00:00;4337;896754,7761;735353,277;VALLE DEL CAUCA;YUMBO;SAN MARCOS;Azul
CONSTRUCCIONES;INIC GERE;Año;2454929;19894601;2017-06-09 00:00:00;2017-10-02 00:00:00;2017-10-19 00:00:00;4337;896754,7761;735353,277;VALLE DEL CAUCA;YUMBO;SAN MARCOS;Azul
CONSTRUCCIONES;INIC GERE;Año;2454929;19894601;2017-06-09 00:00:00;2017-06-09 00:00:00;2017-10-19 00:00:00;4337;896754,7761;735353,277;VALLE DEL CAUCA;YUMBO;SAN MARCOS;Azul
CONSTRUCCIONES;INIC GEAM;Tres años;2374803;19894601;2019-03-02 00:00:00;2019-03-02 00:00:00;1970-01-01 00:00:00;4337;896754,7761;735353,277;VALLE DEL CAUCA;YUMBO;SAN MARCOS;Azul
CONSTRUCCIONES;INIC GERE;Semestre;1238578;19894601;2011-11-03 00:00:00;2011-11-03 00:00:00;2013-09-12 00:00:00;4337;896754,7761;735353,277;VALLE DEL CAUCA;YUMBO;SAN MARCOS;Azul
CONSTRUCCIONES;INIC GEAM;Tres años;1020593;19894601;2017-04-19 00:00:00;2017-04-19 00:00:00;1970-01-01 00:00:00;4337;896754,7761;735353,277;VALLE DEL CAUCA;YUMBO;SAN MARCOS;Azul
CONSTRUCCIONES;INIC GEAM;Tres años;1020593;19894601;2017-04-19 00:00:00;2017-06-09 00:00:00;1970-01-01 00:00:00;4337;896754,7761;735353,277;VALLE DEL CAUCA;YUMBO;SAN MARCOS;Azul
CONSTRUCCIONES;INIC GEAM GPRE;Tres años;2425511;19895182;2017-12-07 00:00:00;2019-03-27 00:00:00;1970-01-01 00:00:00;15583;796417,1329;720246,8934;CAUCA;MORALES;MATA RREDONDA;Azul
CONSTRUCCIONES;INIC GEAM GPRE;Tres años;2425511;19895182;2017-12-07 00:00:00;2017-12-07 00:00:00;1970-01-01 00:00:00;15583;796417,1329;720246,8934;CAUCA;MORALES;MATA RREDONDA;Azul
CONSTRUCCIONES;INIC GEAM;Tres años;2425506;19895182;2017-12-07 00:00:00;2017-12-07 00:00:00;1970-01-01 00:00:00;15583;796417,1329;720246,8934;CAUCA;MORALES;MATA RREDONDA;Azul
CONSTRUCCIONES;INIC GEAM;Tres años;2425506;19895182;2017-12-07 00:00:00;2019-03-27 00:00:00;1970-01-01 00:00:00;15583;796417,1329;720246,8934;CAUCA;MORALES;MATA RREDONDA;Azul
CONSTRUCCIONES;PLAN GEAM;Año;1679454;19895181;2009-04-23 00:00:00;2009-04-23 00:00:00;2013-12-28 00:00:00;15584;796847,5429;720298,1094;CAUCA;MORALES;MATA RREDONDA;Azul
CONSTRUCCIONES;INIC GEAM;Seis años;2573820;19895180;2014-08-09 00:00:00;2014-08-09 00:00:00;1970-01-01 00:00:00;15585;797221,5588;720340,5707;CAUCA;MORALES;SAN ANTONIO;Azul
VEGETACIÓN;INIC GEAM;Semestre;2407643;19895180;2018-05-27 00:00:00;2018-06-02 00:00:00;2018-08-10 00:00:00;15585;797221,5588;720340,5707;CAUCA;MORALES;SAN ANTONIO;Azul
VEGETACIÓN;CTER CO19 GERE PRER;Tres años;2557776;19895035;2015-01-04 00:00:00;2015-01-04 00:00:00;2018-04-25 00:00:00;17428;868442,2081;733241,3665;VALLE DEL CAUCA;CALI;NAVARRO;Azul
VEGETACIÓN;CTER CO19 GERE PRER;Tres años;2557776;19895035;2015-01-04 00:00:00;2017-12-09 00:00:00;2018-04-25 00:00:00;17428;868442,2081;733241,3665;VALLE DEL CAUCA;CALI;NAVARRO;Azul
VEGETACIÓN;CTER CO19 GERE PRER;Tres años;2557779;19895035;2015-01-04 00:00:00;2015-01-04 00:00:00;2018-04-25 00:00:00;17428;868442,2081;733241,3665;VALLE DEL CAUCA;CALI;NAVARRO;Azul
VEGETACIÓN;CTER CO19 GERE PRER;Tres años;2557779;19895035;2015-01-04 00:00:00;2018-01-14 00:00:00;2018-04-25 00:00:00;17428;868442,2081;733241,3665;VALLE DEL CAUCA;CALI;NAVARRO;Azul
CONSTRUCCIONES;INIC GERE;Seis años;2557774;19895035;2015-01-04 00:00:00;2015-01-04 00:00:00;2019-02-17 00:00:00;17428;868442,2081;733241,3665;VALLE DEL CAUCA;CALI;NAVARRO;Azul
CONSTRUCCIONES;INIC GERE;Seis años;2557774;19895035;2015-01-04 00:00:00;2019-02-09 00:00:00;2019-02-17 00:00:00;17428;868442,2081;733241,3665;VALLE DEL CAUCA;CALI;NAVARRO;Azul
INVASIÓN/EXPLANACION ;INIC GEAM AMPO;Semestre;2454670;19895035;2017-06-11 00:00:00;2017-07-29 00:00:00;1970-01-01 00:00:00;17428;868442,2081;733241,3665;VALLE DEL CAUCA;CALI;NAVARRO;Azul
